;;;
;Остатки на складах АСТАРИ;;на 25.04.2024
;EG5000CXRHC;Генератор бензиновый Honda EG 5000 CX;+
;ER2500CXRH;Генератор бензиновый Honda ER 2500 CX;-
;EC2500CX3RHH1K;Генератор бензиновый Honda EC 2500 CX;+
;EQ3000CX;Генератор бензиновый Honda EQ 3000 CX;-
;EG4000CXRHC;Генератор бензиновый Honda EG 4000 CX;-
;EG6500CXRHC;Генератор бензиновый Honda EG 6500 CX;-
;EG6500CXSRHC;Генератор бензиновый Honda EG 6500 CXS;-
;EM10000K1RHC;Генератор бензиновый Honda EM 10000 K1;-
;ET12000K1RGH;Генератор бензиновый Honda ЕT 12000;-
;Мотопомпы Honda (Япония);;
;WX10TE1;Мотопомпа бензиновая Honda WX-10 К1;-
;WX15TE;Мотопомпа бензиновая Honda WX-15 ЕX1;-
;WB20XT4DRX;Мотопомпа бензиновая Honda WB 20;++
;WB30XT3DRX;Мотопомпа бензиновая Honda WB 30;++
;WT20XK4DE;Мотопомпа бензиновая Honda WT 20;++
;WT30XK4DE;Мотопомпа бензиновая Honda WT 30;-
;WT40XK3DE;Мотопомпа бензиновая Honda WT 40;-
;WH20XTEFX;Мотопомпа бензиновая Honda WH 20;-
;WMP20X1E1T;Мотопомпа бензиновая Honda WMP 20;-
;Генераторы B&S (США);;-
;100005E;Масло для 4-тактных двигателей B&S SAE30 0,6 л;++
;100007W;Масло моторное 5W30 1L*;++
;30800;Генератор бензиновый инверторный Briggs & Stratton P 2400 Inverter;++
;30674;Генератор бензиновый инверторный Briggs & Stratton P 3000;-
;30806;Генератор бензиновый инверторный Briggs & Stratton P 4500 Inverter   ;++
;30852;Генератор бензиновый инверторный Briggs & Stratton Q 6500 Inverter   ;++
;30722;Генератор бензиновый Briggs & Stratton Elite 8500;++
;40495;Генератор газовый Briggs & Stratton G80;-
;40491;Генератор газовый Briggs & Stratton G110;-
;40489;Генератор газовый Briggs & Stratton G140;-
;Генераторы Yamaha (Япония);;
;7PB329-060A;Генератор бензиновый инверторный Yamaha EF 2000 iS;-
;7C1305-030A;Генератор бензиновый Yamaha EF 1000 FW;-
;7C2322-070A;Генератор бензиновый Yamaha EF 2600 FW;-
;7P5316-060A;Генератор бензиновый Yamaha EF 5500 FW;-
;7P5317-070A;Генератор бензиновый Yamaha EF 5500 EFW;-
;7P6321-070A;Генератор бензиновый Yamaha EF 7200 E;-
;7UYB00-010A;Генератор бензиновый Yamaha EF 14000 E;-
;7UYC00-010A;Генератор бензиновый Yamaha EF 17000 TE;-
;Генераторы Zongshen (КНР);;
;1T90DFQ20;Генератор бензиновый инверторный Zongshen BQH 2000 ;++
;1T90DFQ22;Генератор бензиновый инверторный Zongshen BQH 2200;++
;1T90DFQ23;Генератор бензиновый инверторный Zongshen BQH 2200 E;++
;1T90DFQ28;Генератор бензиновый инверторный Zongshen BQH 2800 НОВИНКА!;++
;1T90DFQ29;Генератор бензиновый инверторный Zongshen BQH 2800 E НОВИНКА!;++
;1T90DFQ33;Генератор бензиновый инверторный Zongshen BQH 3300 НОВИНКА!;++
;1T90DF33E;Генератор бензиновый инверторный Zongshen BQH 3300 E НОВИНКА!;++
;1T90DF351;Генератор бензиновый инверторный Zongshen BQH 3500;++
;1T90DF352;Генератор бензиновый инверторный Zongshen BQH 3500 E;ожидается
;1T90DFQ40;Генератор бензиновый инверторный Zongshen BQH 4000;++
;1T90DFQ41;Генератор бензиновый инверторный Zongshen BQH 4000 E;++
;1T90DFBQ9;Генератор бензиновый инверторный Zongshen BQH 9000 E НОВИНКА!;++
;1T90DFB40;Генератор бензиновый инверторный Zongshen BPB 4000 ;++
;1T90DFB41;Генератор бензиновый инверторный Zongshen BPB 4000 E ;++
;1T90DFB50;Генератор бензиновый инверторный Zongshen BPB 4500;++
