P ID,Product ID,
1087,225748,1
1088,225749,1
1089,225750,1
1090,225751,1
1091,225752,1
1092,225753,1
1093,225754,1
1094,225755,1
1095,225756,1
1096,225757,1
1097,225758,1
1098,225759,1
1099,225760,1
1100,225761,1
1101,225762,1
1102,225763,1
1103,225764,1
1104,225765,1
1105,225766,1
1106,225767,1
1107,225768,1
1108,225769,1
1109,225770,1
1110,225771,1
1111,225772,1
1112,225773,1
1113,225774,1
1114,225775,1
1115,225776,1
1116,225777,1
1117,225778,1
1118,225779,1
1119,225780,1
1120,225781,1
1121,225782,1
1122,225783,1
1123,225784,1
1124,225785,1
1125,225786,1
1126,225787,1
1127,225788,1
1128,225789,1
1129,225790,1
1130,225791,1
1131,225792,1
1132,225793,1
1133,225794,1
1134,225795,1
1135,225796,1
1136,225797,1
1137,225798,1
1138,225799,1
1139,225800,1
1140,225801,1
1141,225802,1
1142,225803,1
1143,225804,1
1144,225805,1
1145,225806,1
1146,225807,1
1147,225808,1
1148,225809,1
1149,225810,1
1150,225811,1
1151,225812,1
1152,225813,1
1153,225814,1
1154,225815,1
1155,225816,1
1156,225817,1
1157,225818,1
1158,225819,1
1159,225820,1
1160,225821,1
1161,225822,1
1162,225823,1
1163,225824,1
1164,225825,1
1165,225826,1
1166,225827,1
1167,225828,1
1168,225829,1
1169,225830,1
1170,225831,1
1171,225832,1
1172,225833,1
1173,225834,1
1174,225835,1
1175,225836,1
1176,225837,1
1177,225838,1
1178,225839,1
1179,225840,1
1180,225841,1
1181,225842,1
1182,225843,1
1183,225844,1
1184,225845,1
1185,225846,1
1186,225847,1
1187,225848,1
1188,225849,1
1189,225850,1
1190,225851,1
1191,225852,1
1192,225853,1
1193,225854,1
1194,225855,1
1195,225856,1
1196,225857,1
1197,225858,1
1198,225859,1
1199,225860,1
1200,225861,1
1201,225862,1
1202,225863,1
1203,225864,1
1204,225865,1
1205,225866,1
1206,225867,1
1207,225868,1
1208,225869,1
1209,225870,1
1210,225871,1
1211,225872,1
1212,225873,1
1213,225874,1
1214,225875,1
1215,225876,1
1216,225877,1
1217,225878,1
1218,225879,1
1219,225880,1
1220,225881,1
1221,225882,1
1222,225884,1
1223,225885,1
1224,225886,1
1225,225887,1
1226,228772,1
1227,229062,1
1228,229572,1
1229,229574,1
1230,229576,1
1231,229577,1
1232,229578,1
1233,229579,1
1234,229580,1
1235,229581,1
1236,229582,1
1237,229583,1
1238,229585,1
1239,229588,1
1240,229589,1
1241,229590,1
1242,229591,1
1243,229592,1
1244,229593,1
1245,229594,1
1246,229595,1
1247,229596,1
1248,229599,1
1249,229600,1
1250,229601,1
1251,229807,1
1252,230725,1
1253,242778,1
1254,258600,1
1255,258601,1
1256,225883,1
1257,229575,1
1258,229597,1
1259,229598,1
1260,282792,1
1261,284252,1
1262,284253,1
1263,284254,1
1264,284255,1
1265,284256,1
1266,284257,1
1267,284258,1
1268,284259,1
1269,284260,1
1270,284261,1
1271,284262,1
1272,284263,1
1273,284264,1
1274,284265,1
1275,284266,1
1276,284267,1
1277,284268,1
1278,284269,1
1279,284270,1
1280,284271,1
1281,284272,1
1282,284273,1
1283,284274,1
1284,284275,1
1285,284276,1
1286,284277,1
1287,284278,1
1288,284279,1
1289,284280,1
1290,284281,1
1291,284282,1
1292,284283,1
1293,284284,1
1294,284285,1
1295,284286,1
1296,284287,1
1297,284288,1
1298,284289,1
1299,284290,1
1300,284291,1
1301,284292,1
1302,284293,1
1303,284294,1
1304,284295,1
1305,284296,1
1306,284297,1
1307,284298,1
1308,284299,1
1309,284300,1
1310,284301,1
1311,284302,1
1312,284303,1
1313,284304,1
1314,284305,1
1315,284306,1
1316,284307,1
1317,284308,1
1318,284309,1
1319,284310,1
1320,284311,1
1321,284312,1
1322,284313,1
1323,284314,1
1324,287396,1
1325,24231,1
1326,24313,1
1327,24312,1
1328,24311,1
1329,24310,1
1330,24309,1
1331,258493,1
1332,258495,1
1333,258496,1
1334,258497,1
1335,258498,1
1336,258499,1
1337,258500,1
1338,258501,1
1339,237104,1
1340,24315,1
1341,24314,1
1342,225476,1
1343,225474,1
1344,225473,1
1345,225472,1
1346,161679,1
1347,141015,1
1348,98923,1
1349,98922,1
1350,98921,1
1351,86654,1
1352,86653,1
1353,47934,1
1354,47933,1
1355,47932,1
1356,47931,1
1357,47930,1
1358,47929,1
1359,288988,1
1360,288989,1
1361,288991,1
1362,288992,1
1363,288995,1
1366,19001,1
1367,19002,1
1368,19004,1
1369,19005,1
1370,19182,1
1371,19543,1
1372,19544,1
1373,19562,1
1374,19563,1
1375,19564,1
1376,20848,1
1377,20849,1
1378,20851,1
1379,20852,1
1380,20853,1
1381,20855,1
1382,20856,1
1383,20857,1
1384,20858,1
1385,20859,1
1386,33158,1
1387,33159,1
1388,33160,1
1389,33161,1
1390,33162,1
1391,33163,1
1392,33164,1
1393,33165,1
1394,33166,1
1395,33167,1
1396,33168,1
1397,33169,1
1398,33171,1
1399,33172,1
1400,33173,1
1401,33174,1
1402,33175,1
1403,33176,1
1404,33177,1
1405,33178,1
1406,33179,1
1407,33343,1
1408,33344,1
1409,33345,1
1410,33346,1
1411,33347,1
1412,33348,1
1413,33349,1
1414,33350,1
1415,33351,1
1416,33352,1
1417,33353,1
1418,33354,1
1419,33355,1
1420,33357,1
1421,33358,1
1422,33360,1
1423,33361,1
1424,33362,1
1425,33363,1
1426,33364,1
1427,33365,1
